Marché;CAC;;;;;;;;;;;
TECH;;1;;;;;;;;;;
iShares ST E 600 Technol Dis (XETR:EXV3);DASSAULT SYSTEMES SE (XPAR:DSY);;;;;;;;;;;
Clôture;Date;Clôture;Ouverture;Plus haut;Plus bas;Volume;Taux de Variation Mensuelle;Taux de Variation Trimestrielle;Taux de Variation Annuelle;Taux de variation du marché;Variance de la rentabilité du marché;Covarience Actif marché
 € 19,41 ;01/01/2010; € 4,14 ; € 3,98 ; € 4,33 ; € 3,98 ;3 121 382;;;;;;
 € 19,23 ;01/02/2010; € 4,15 ; € 4,15 ; € 4,25 ; € 3,87 ;4 159 024;0,003861941;;;-0,009316838;1,49146E-05;-3,59811E-05
 € 21,50 ;01/03/2010; € 4,36 ; € 4,26 ; € 4,47 ; € 4,26 ;5 200 919;0,048893404;Trimestre 4;;0,111581376;0,002390565;0,005455593
 € 20,94 ;01/04/2010; € 4,90 ; € 4,40 ; € 4,93 ; € 4,37 ;6 019 484;0,116380099;0,184280532;;-0,02639173;0,013544328;-0,003071472
 € 19,90 ;01/05/2010; € 4,70 ; € 4,88 ; € 4,94 ; € 4,37 ;6 657 060;-0,040209562;;;-0,050941474;0,001616809;0,002048334
 € 19,62 ;01/06/2010; € 4,97 ; € 4,72 ; € 5,23 ; € 4,69 ;5 524 790;0,055811135;Trimestre 1;;-0,014170278;0,003114883;-0,000790859
 € 19,44 ;01/07/2010; € 4,99 ; € 4,92 ; € 5,33 ; € 4,87 ;6 753 459;0,002910918;0,018684909;;-0,009216655;8,47344E-06;-2,68289E-05
 € 18,04 ;01/08/2010; € 4,74 ; € 4,97 ; € 5,06 ; € 4,58 ;4 840 328;-0,051731239;;;-0,074741284;0,002676121;0,003866459
 € 19,76 ;01/09/2010; € 5,38 ; € 4,78 ; € 5,45 ; € 4,75 ;5 650 776;0,127098459;Trimestre 2;;0,091068178;0,016154018;0,011574625
 € 20,23 ;01/10/2010; € 5,59 ; € 5,43 ; € 5,64 ; € 5,10 ;5 188 801;0,038118958;0,120176406;;0,023506959;0,001453055;0,000896061
 € 19,97 ;01/11/2010; € 5,19 ; € 5,57 ; € 5,72 ; € 5,17 ;5 513 726;-0,073309877;;;-0,012935504;0,005374338;0,0009483
 € 21,73 ;01/12/2010; € 5,70 ; € 5,30 ; € 5,78 ; € 5,27 ;2 796 055;0,093505426;Trimestre 3;Anné 1;0,084462647;0,008743265;0,007897716
 € 22,95 ;01/01/2011; € 5,76 ; € 5,69 ; € 5,89 ; € 5,35 ;4 153 281;0,010641182;0,031317108;0,393712213;0,054624142;0,000113235;0,000581265
 € 23,43 ;01/02/2011; € 5,58 ; € 5,74 ; € 5,89 ; € 5,41 ;6 152 408;-0,032627883;;;0,020699316;0,001064579;-0,000675375
 € 22,80 ;01/03/2011; € 5,44 ; € 5,50 ; € 5,63 ; € 5,10 ;7 312 378;-0,024683649;Trimestre 4;;-0,027256717;0,000609283;0,000672795
