Cloture_secteur;Date;Cloture;Ouverture;Plus haut;Plus bas;Volume;Taux de Variation Mensuelle;Taux de variation du marché;Variance de la rentabilité du marché;Covarience Actif marché;Entreprise
19.41;01/01/2010;4.14;3.98;4.33;3.98;3121382;0.0;0.0;0.0;0.0;Dassault
19.23;01/02/2010;4.15;4.15;4.25;3.87;4159024;0.0039;-0.0093;0.0;-0.0;Dassault
21.5;01/03/2010;4.36;4.26;4.47;4.26;5200919;0.0489;0.1116;0.0024;0.0055;Dassault
20.94;01/04/2010;4.9;4.4;4.93;4.37;6019484;0.1164;-0.0264;0.0135;-0.0031;Dassault
19.9;01/05/2010;4.7;4.88;4.94;4.37;6657060;-0.0402;-0.0509;0.0016;0.002;Dassault
19.62;01/06/2010;4.97;4.72;5.23;4.69;5524790;0.0558;-0.0142;0.0031;-0.0008;Dassault
19.44;01/07/2010;4.99;4.92;5.33;4.87;6753459;0.0029;-0.0092;0.0;-0.0;Dassault
18.04;01/08/2010;4.74;4.97;5.06;4.58;4840328;-0.0517;-0.0747;0.0027;0.0039;Dassault
19.76;01/09/2010;5.38;4.78;5.45;4.75;5650776;0.1271;0.0911;0.0162;0.0116;Dassault
20.23;01/10/2010;5.59;5.43;5.64;5.1;5188801;0.0381;0.0235;0.0015;0.0009;Dassault
19.97;01/11/2010;5.19;5.57;5.72;5.17;5513726;-0.0733;-0.0129;0.0054;0.0009;Dassault
21.73;01/12/2010;5.7;5.3;5.78;5.27;2796055;0.0935;0.0845;0.0087;0.0079;Dassault
22.95;01/01/2011;5.76;5.69;5.89;5.35;4153281;0.0106;0.0546;0.0001;0.0006;Dassault
23.43;01/02/2011;5.58;5.74;5.89;5.41;6152408;-0.0326;0.0207;0.0011;-0.0007;Dassault
22.8;01/03/2011;5.44;5.5;5.63;5.1;7312378;-0.0247;-0.0273;0.0006;0.0007;Dassault
23.34;01/04/2011;5.57;5.46;5.9;5.3;4925066;0.0236;0.0234;0.0006;0.0006;Dassault
22.93;01/05/2011;5.83;5.53;5.91;5.46;5875974;0.0459;-0.0177;0.0021;-0.0008;Dassault
21.64;01/06/2011;5.83;5.9;5.9;5.58;4983212;-0.0007;-0.0579;0.0;0.0;Dassault
20.33;01/07/2011;6.17;5.87;6.18;5.68;4890318;0.0562;-0.0624;0.0032;-0.0035;Dassault
18.97;01/08/2011;5.45;6.21;6.29;4.91;8895634;-0.1234;-0.0692;0.0152;0.0085;Dassault
18.28;01/09/2011;5.44;5.64;5.65;5.08;5217828;-0.0017;-0.0371;0.0;0.0001;Dassault
20.11;01/10/2011;6.21;5.23;6.38;5.02;4585103;0.1315;0.0954;0.0173;0.0125;Dassault
19.58;01/11/2011;6.02;6.0;6.17;5.64;5162187;-0.0309;-0.0267;0.001;0.0008;Dassault
19.0;01/12/2011;6.12;6.07;6.2;5.79;3601813;0.016;-0.0301;0.0003;-0.0005;Dassault
19.8;01/01/2012;6.38;6.2;6.43;5.99;4603056;0.0431;0.0412;0.0019;0.0018;Dassault
21.23;01/02/2012;6.26;6.39;6.51;6.13;5656493;-0.0193;0.0697;0.0004;-0.0013;Dassault
21.86;01/03/2012;6.78;6.23;6.91;6.16;5628245;0.0795;0.0292;0.0063;0.0023;Dassault
20.2;01/04/2012;7.4;6.9;7.68;6.71;7027547;0.0875;-0.079;0.0077;-0.0069;Dassault
19.09;01/05/2012;7.36;7.45;7.47;6.87;7254626;-0.0056;-0.0565;0.0;0.0003;Dassault
19.18;01/06/2012;7.17;7.4;7.61;7.0;7740188;-0.0262;0.0047;0.0007;-0.0001;Dassault
20.84;01/07/2012;8.02;7.41;8.15;7.33;4999325;0.1115;0.083;0.0124;0.0093;Dassault
20.96;01/08/2012;7.73;8.03;8.19;7.62;3396984;-0.0362;0.0057;0.0013;-0.0002;Dassault
20.83;01/09/2012;8.13;7.73;8.41;7.61;4565144;0.0502;-0.0062;0.0025;-0.0003;Dassault
20.69;01/10/2012;8.21;8.18;8.43;8.03;4094493;0.01;-0.0067;0.0001;-0.0001;Dassault
22.35;01/11/2012;8.61;8.28;8.78;8.05;3770887;0.0473;0.0772;0.0022;0.0037;Dassault
22.81;01/12/2012;8.45;8.7;8.72;8.32;2591980;-0.0189;0.0204;0.0004;-0.0004;Dassault
23.66;01/01/2013;8.21;8.52;8.65;8.18;3793497;-0.0281;0.0366;0.0008;-0.001;Dassault
24.2;01/02/2013;8.6;8.21;8.83;7.82;4517986;0.0463;0.0226;0.0021;0.001;Dassault
24.38;01/03/2013;8.95;8.72;9.1;8.65;3428946;0.0394;0.0074;0.0016;0.0003;Dassault
24.38;01/04/2013;9.2;9.01;9.32;8.57;4707634;0.0278;0.0;0.0008;0.0;Dassault
24.9;01/05/2013;9.53;9.25;9.78;9.09;4702523;0.0347;0.0211;0.0012;0.0007;Dassault
24.07;01/06/2013;9.52;9.71;9.84;9.17;4670942;-0.0003;-0.0339;0.0;0.0;Dassault
24.96;01/07/2013;9.85;9.42;10.3;9.38;4111827;0.0336;0.0363;0.0011;0.0012;Dassault
25.09;01/08/2013;9.71;9.94;10.16;9.63;3243819;-0.0145;0.0052;0.0002;-0.0001;Dassault
27.27;01/09/2013;9.89;9.77;10.07;9.49;3626973;0.0185;0.0833;0.0003;0.0015;Dassault
27.11;01/10/2013;8.81;9.83;10.05;8.01;8273436;-0.1152;-0.0059;0.0133;0.0007;Dassault
28.03;01/11/2013;8.45;8.94;8.98;8.4;3870983;-0.0423;0.0334;0.0018;-0.0014;Dassault
28.37;01/12/2013;9.07;8.45;9.17;8.24;4823623;0.0717;0.0121;0.0051;0.0009;Dassault
26.97;01/01/2014;8.89;9.11;9.13;8.59;4430754;-0.02;-0.0506;0.0004;0.001;Dassault
28.16;01/02/2014;8.27;8.84;8.97;7.85;6984428;-0.0732;0.0432;0.0054;-0.0032;Dassault
