Année;Trimestre;Rendement Trimestriels
2010;2010Q1;0.052990709999999996
2010;2010Q2;0.1313115761760002
2010;2010Q3;0.07192853389699994
2010;2010Q4;0.05195494974499981
2011;2011Q1;-0.04649362466799989
2011;2011Q2;0.0698338317320002
2011;2011Q3;-0.07570905036399989
2011;2011Q4;0.11408123640000012
2012;2012Q1;0.10429413951499988
2012;2012Q2;0.05307705799999973
2012;2012Q3;0.1250411377399998
2012;2012Q4;0.037781090299999764
2013;2013Q1;0.056964789418000095
2013;2013Q2;0.06314562060200002
2013;2013Q3;0.03745713680000007
2013;2013Q4;-0.09187039876799985
2014;2014Q1;-0.05922014880000004
2014;2014Q2;0.09523122520500005
2014;2014Q3;0.098119094696
2014;2014Q4;-0.032569863249999886
2015;2015Q1;0.24673679748799993
2015;2015Q2;0.038094666884000095
2015;2015Q3;-0.03783204134399998
2015;2015Q4;0.144222043029
2016;2016Q1;-0.047078676352000026
2016;2016Q2;-0.05421976838000009
2016;2016Q3;0.14440261511999997
2016;2016Q4;-0.06352405791999993
2017;2017Q1;0.11428897272000005
2017;2017Q2;-0.03576859205800009
2017;2017Q3;0.08963414592500007
2017;2017Q4;0.03897469087999994
2018;2018Q1;0.23178372669500025
2018;2018Q2;0.08011925964799982
2018;2018Q3;0.06327269138999991
2018;2018Q4;-0.2054975958209999
2019;2019Q1;0.2628692943020001
2019;2019Q2;0.051510085275999984
2019;2019Q3;-0.07107383473500006
2019;2019Q4;0.11821824797000002
2020;2020Q1;-0.08677166530000002
2020;2020Q2;0.12863050976
2020;2020Q3;0.03960412160000004
2020;2020Q4;0.03204319791199994
2021;2021Q1;0.09493352787499987
2021;2021Q2;0.11540512200800013
2021;2021Q3;0.1003716009440001
2021;2021Q4;0.143161580613
2022;2022Q1;-0.167230579564
2022;2022Q2;-0.22356937
2022;2022Q3;-0.001827830934999941
2022;2022Q4;-0.06545720012800005
2023;2023Q1;0.1271997548239998
2023;2023Q2;0.06547624349100012
2023;2023Q3;-0.13434546572399986
2023;2023Q4;0.24146729885599982
2024;2024Q1;-0.034338579999999896
